Run_ID,Iteration,Best_Fitness,Correct_Outputs,Active_Gates
1,1,52,52,5
1,2,52,52,5
1,3,54,54,4
1,4,54,54,4
1,5,54,54,4
1,6,54,54,4
1,7,54,54,4
1,8,54,54,4
1,9,54,54,4
1,10,54,54,4
1,11,56,56,5
1,12,57,57,6
1,13,57,57,6
1,14,60,60,6
1,15,60,60,6
1,16,60,60,6
1,17,60,60,6
1,18,60,60,6
1,19,60,60,6
1,20,60,60,6
1,21,60,60,6
1,22,60,60,6
1,23,60,60,6
1,24,60,60,6
1,25,60,60,6
1,26,60,60,6
1,27,60,60,6
1,28,60,60,6
1,29,60,60,6
1,30,60,60,6
1,31,60,60,6
1,32,60,60,6
1,33,60,60,6
1,34,60,60,6
1,35,60,60,6
1,36,60,60,6
1,37,60,60,6
1,38,60,60,6
1,39,60,60,6
1,40,60,60,6
1,41,60,60,6
1,42,60,60,6
1,43,60,60,6
1,44,60,60,6
1,45,60,60,6
1,46,60,60,6
1,47,60,60,6
1,48,60,60,6
1,49,60,60,6
1,50,60,60,6
1,51,60,60,6
1,52,60,60,6
1,53,60,60,6
1,54,60,60,6
1,55,60,60,6
1,56,60,60,6
1,57,60,60,6
1,58,60,60,6
1,59,60,60,6
1,60,60,60,6
1,61,60,60,6
1,62,60,60,6
1,63,60,60,6
1,64,60,60,6
1,65,60,60,6
1,66,60,60,6
1,67,60,60,6
1,68,60,60,6
1,69,60,60,6
1,70,60,60,6
1,71,60,60,6
1,72,60,60,6
1,73,60,60,6
1,74,60,60,6
1,75,60,60,6
1,76,60,60,6
1,77,60,60,6
1,78,60,60,6
1,79,60,60,6
1,80,60,60,6
1,81,60,60,6
1,82,60,60,6
1,83,60,60,6
1,84,60,60,6
1,85,60,60,6
1,86,60,60,6
1,87,60,60,6
1,88,60,60,6
1,89,60,60,6
1,90,60,60,6
1,91,60,60,6
1,92,60,60,6
1,93,60,60,6
1,94,60,60,6
1,95,60,60,6
1,96,60,60,6
1,97,60,60,6
1,98,60,60,6
1,99,60,60,6
1,100,60,60,6
2,1,52,52,8
2,2,52,52,8
2,3,52,52,8
2,4,54,54,4
2,5,56,56,5
2,6,56,56,5
2,7,56,56,5
2,8,56,56,5
2,9,56,56,5
2,10,56,56,5
2,11,56,56,5
2,12,56,56,5
2,13,56,56,5
2,14,56,56,5
2,15,56,56,5
2,16,56,56,5
2,17,56,56,5
2,18,56,56,5
2,19,56,56,5
2,20,56,56,5
2,21,56,56,5
2,22,56,56,5
2,23,56,56,5
2,24,57,57,6
2,25,58,58,6
2,26,58,58,6
2,27,58,58,6
2,28,58,58,6
2,29,58,58,6
2,30,59,59,6
2,31,59,59,6
2,32,59,59,6
2,33,59,59,6
2,34,59,59,6
2,35,59,59,6
2,36,59,59,6
2,37,59,59,6
2,38,59,59,6
2,39,59,59,6
2,40,59,59,6
2,41,59,59,6
2,42,59,59,6
2,43,59,59,6
2,44,59,59,6
2,45,59,59,6
2,46,59,59,6
2,47,59,59,6
2,48,59,59,6
2,49,59,59,6
2,50,59,59,6
2,51,59,59,6
2,52,59,59,6
2,53,59,59,6
2,54,59,59,6
2,55,59,59,6
2,56,59,59,6
2,57,59,59,6
2,58,59,59,6
2,59,59,59,6
2,60,59,59,6
2,61,59,59,6
2,62,59,59,6
2,63,59,59,6
2,64,59,59,6
2,65,59,59,6
2,66,59,59,6
2,67,59,59,6
2,68,59,59,6
2,69,59,59,6
2,70,59,59,6
2,71,59,59,6
2,72,59,59,6
2,73,59,59,6
2,74,59,59,6
2,75,59,59,6
2,76,59,59,6
2,77,59,59,6
2,78,59,59,6
2,79,59,59,6
2,80,59,59,6
2,81,59,59,6
2,82,59,59,6
2,83,59,59,6
2,84,59,59,6
2,85,59,59,6
2,86,59,59,6
2,87,59,59,6
2,88,59,59,6
2,89,59,59,6
2,90,59,59,6
2,91,59,59,6
2,92,59,59,6
2,93,59,59,6
2,94,59,59,6
2,95,59,59,6
2,96,59,59,6
2,97,59,59,6
2,98,59,59,6
2,99,59,59,6
2,100,59,59,6
3,1,53,53,4
3,2,53,53,4
3,3,53,53,4
3,4,56,56,5
3,5,56,56,5
3,6,56,56,5
3,7,57,57,3
3,8,57,57,3
3,9,57,57,3
3,10,57,57,3
3,11,57,57,3
3,12,57,57,3
3,13,57,57,3
3,14,57,57,3
3,15,57,57,3
3,16,57,57,3
3,17,57,57,3
3,18,57,57,3
