Run_ID,Iteration,Best_Fitness,Correct_Outputs,Active_Gates
1,1,14,14,3
1,2,14,14,3
1,3,14,14,3
1,4,14,14,3
1,5,14,14,3
1,6,14,14,3
1,7,14,14,3
1,8,14,14,3
1,9,15,15,4
1,10,15,15,4
1,11,15,15,4
1,12,15,15,4
1,13,15,15,4
1,14,15,15,4
1,15,15,15,4
1,16,15,15,4
1,17,15,15,4
1,18,15,15,4
1,19,15,15,4
1,20,15,15,4
1,21,15,15,4
1,22,15,15,4
1,23,15,15,4
1,24,15,15,4
1,25,15,15,4
1,26,15,15,4
1,27,15,15,4
1,28,15,15,4
1,29,15,15,4
1,30,15,15,4
1,31,15,15,4
1,32,15,15,4
1,33,15,15,4
1,34,15,15,4
1,35,15,15,4
1,36,15,15,4
1,37,15,15,4
1,38,15,15,4
1,39,15,15,4
1,40,15,15,4
1,41,15,15,4
1,42,15,15,4
1,43,15,15,4
1,44,15,15,4
1,45,15,15,4
1,46,15,15,4
1,47,15,15,4
1,48,15,15,4
1,49,15,15,4
1,50,15,15,4
1,51,15,15,4
1,52,15,15,4
1,53,15,15,4
1,54,15,15,4
1,55,15,15,4
1,56,15,15,4
1,57,15,15,4
1,58,15,15,4
1,59,15,15,4
2,1,14,14,2
2,2,14,14,2
2,3,14,14,2
2,4,14,14,2
2,5,14,14,2
2,6,14,14,2
2,7,14,14,2
2,8,14,14,2
2,9,14,14,2
2,10,14,14,2
2,11,14,14,2
2,12,14,14,2
2,13,14,14,2
2,14,14,14,2
2,15,14,14,2
2,16,14,14,2
2,17,14,14,2
2,18,14,14,2
2,19,14,14,2
2,20,14,14,2
2,21,14,14,2
2,22,14,14,2
2,23,14,14,2
2,24,14,14,2
2,25,14,14,2
2,26,14,14,2
2,27,14,14,2
2,28,14,14,2
2,29,14,14,2
2,30,14,14,2
2,31,14,14,2
2,32,14,14,2
2,33,14,14,2
2,34,14,14,2
2,35,14,14,2
2,36,14,14,2
2,37,14,14,2
2,38,14,14,2
2,39,14,14,2
2,40,14,14,2
2,41,15,15,4
2,42,15,15,4
2,43,15,15,4
2,44,15,15,4
2,45,15,15,4
2,46,15,15,4
2,47,15,15,4
2,48,15,15,4
2,49,15,15,4
2,50,15,15,4
2,51,15,15,4
2,52,15,15,4
2,53,15,15,4
2,54,15,15,4
2,55,15,15,4
2,56,15,15,4
2,57,15,15,4
2,58,15,15,4
2,59,15,15,4
2,60,15,15,4
2,61,15,15,4
2,62,15,15,4
2,63,15,15,4
2,64,15,15,4
2,65,15,15,4
2,66,15,15,4
2,67,15,15,4
2,68,15,15,4
2,69,15,15,4
2,70,15,15,4
2,71,15,15,4
2,72,15,15,4
2,73,15,15,4
2,74,15,15,4
2,75,15,15,4
2,76,15,15,4
2,77,15,15,4
2,78,15,15,4
2,79,15,15,4
2,80,15,15,4
2,81,15,15,4
2,82,15,15,4
2,83,15,15,4
2,84,15,15,4
2,85,15,15,4
2,86,15,15,4
2,87,15,15,4
2,88,15,15,4
2,89,15,15,4
2,90,15,15,4
2,91,15,15,4
3,1,14,14,3
3,2,14,14,3
3,3,14,14,3
3,4,14,14,3
3,5,14,14,3
3,6,14,14,3
3,7,14,14,3
3,8,14,14,3
3,9,14,14,3
3,10,14,14,3
3,11,14,14,3
3,12,14,14,3
3,13,14,14,3
3,14,14,14,3
3,15,14,14,3
3,16,14,14,3
3,17,14,14,3
3,18,14,14,3
3,19,14,14,3
3,20,14,14,3
3,21,14,14,3
3,22,14,14,3
3,23,14,14,3
3,24,14,14,3
3,25,14,14,3
3,26,14,14,3
3,27,14,14,3
3,28,14,14,3
3,29,14,14,3
3,30,14,14,3
3,31,14,14,3
3,32,14,14,3
3,33,14,14,3
3,34,14,14,3
3,35,14,14,3
3,36,14,14,3
3,37,14,14,3
3,38,14,14,3
3,39,14,14,3
3,40,14,14,3
3,41,14,14,3
3,42,14,14,3
3,43,14,14,3
3,44,14,14,3
3,45,14,14,3
3,46,14,14,3
3,47,14,14,3
3,48,14,14,3
3,49,14,14,3
3,50,14,14,3
3,51,14,14,3
