Log file         : logs/cgpsa_run_20260323_110842.txt
Loaded Benchmark : ../../src/plu_files/benchmarks/add4.plu
Inputs / Outputs : 9 / 5

--- Starting 1+lambda Evolution via CGP-SA Hybrid ---
Function set     : Reduced  {BUFa, NOTa, AND, OR} (4 gates)
max_generations  : 100000000
max_nodes (n_c)  : 5000
levels_back      : 5000
total_dimensions : 15005
(1 + lambda)     : 1 + 5
mutation_rate    : 0.02
Temp max         : 5
Temp min         : 0.1
Cooling rate     : 0.95

Total_dimensions: 15005
Generation 92 | Best fitness: 145600 | Best Hamming Distance: 1104
Generation 93 | Best fitness: 145600 | Best Hamming Distance: 1104
Generation 94 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 95 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 96 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 97 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 98 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 99 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 100 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 101 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 102 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 103 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 104 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 105 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 106 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 107 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 108 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 109 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 110 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 111 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 112 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 113 | Best fitness: 146400 | Best Hamming Distance: 1096
Generation 114 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 115 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 116 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 117 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 118 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 119 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 120 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 121 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 122 | Best fitness: 147200 | Best Hamming Distance: 1088
Generation 123 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 124 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 125 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 126 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 127 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 128 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 129 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 130 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 131 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 132 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 133 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 134 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 135 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 136 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 137 | Best fitness: 148000 | Best Hamming Distance: 1080
Generation 138 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 139 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 140 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 141 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 142 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 143 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 144 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 145 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 146 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 147 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 148 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 149 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 150 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 151 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 152 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 153 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 154 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 155 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 156 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 157 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 158 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 159 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 160 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 161 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 162 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 163 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 164 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 165 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 166 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 167 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 168 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 169 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 170 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 171 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 172 | Best fitness: 151200 | Best Hamming Distance: 1048
Generation 173 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 174 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 175 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 176 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 177 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 178 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 179 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 180 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 181 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 182 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 183 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 184 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 185 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 186 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 187 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 188 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 189 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 190 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 191 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 192 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 193 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 194 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 195 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 196 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 197 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 198 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 199 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 200 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 201 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 202 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 203 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 204 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 205 | Best fitness: 152000 | Best Hamming Distance: 1040
Generation 206 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 207 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 208 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 209 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 210 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 211 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 212 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 213 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 214 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 215 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 216 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 217 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 218 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 219 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 220 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 221 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 222 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 223 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 224 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 225 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 226 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 227 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 228 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 229 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 230 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 231 | Best fitness: 152800 | Best Hamming Distance: 1032
Generation 232 | Best fitness: 153200 | Best Hamming Distance: 1028
Generation 233 | Best fitness: 153200 | Best Hamming Distance: 1028
Generation 234 | Best fitness: 153200 | Best Hamming Distance: 1028
Generation 235 | Best fitness: 153200 | Best Hamming Distance: 1028
Generation 236 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 237 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 238 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 239 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 240 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 241 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 242 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 243 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 244 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 245 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 246 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 247 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 248 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 249 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 250 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 251 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 252 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 253 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 254 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 255 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 256 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 257 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 258 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 259 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 260 | Best fitness: 154400 | Best Hamming Distance: 1016
Generation 261 | Best fitness: 154400 | Best Hamming Distance: 1016
