Log file         : logs/cgpsa_run_20260323_113825.txt
Loaded Benchmark : ../../src/plu_files/add1c.plu
Inputs / Outputs : 3 / 2

--- Starting 1+lambda Evolution via CGP-SA Hybrid ---
Function set     : Reduced  {BUFa, NOTa, AND, OR} (4 gates)
max_generations  : 10000
max_nodes (n_c)  : 5000
levels_back      : 5000
total_dimensions : 15002
(1 + lambda)     : 1 + 5
mutation_rate    : 0.02
Temp max         : 5
Temp min         : 0.1
Cooling rate     : 0.95

Total_dimensions: 15002
Generation 38 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 39 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 40 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 41 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 42 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 43 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 44 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 45 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 46 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 47 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 48 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 49 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 50 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 51 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 52 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 53 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 54 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 55 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 56 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 57 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 58 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 59 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 60 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 61 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 62 | Best fitness: 1300 | Best Hamming Distance: 3
Generation 63 | Best fitness: 1300 | Best Hamming Distance: 3
