Run_ID,Iteration,Best_Fitness,Correct_Outputs,Active_Gates
1,1,7,7,5
1,2,7,7,5
1,3,7,7,5
1,4,7,7,5
1,5,7,7,5
1,6,7,7,5
1,7,7,7,5
1,8,7,7,5
1,9,7,7,5
1,10,7,7,5
1,11,7,7,5
1,12,7,7,5
1,13,7,7,5
1,14,7,7,5
1,15,7,7,5
1,16,7,7,5
1,17,7,7,5
1,18,7,7,5
1,19,7,7,5
1,20,7,7,5
1,21,7,7,5
1,22,7,7,5
1,23,7,7,5
1,24,7,7,5
1,25,7,7,5
1,26,7,7,5
1,27,7,7,5
1,28,7,7,5
1,29,7,7,5
1,30,7,7,5
1,31,7,7,5
1,32,7,7,5
1,33,7,7,5
1,34,7,7,5
1,35,7,7,5
1,36,7,7,5
1,37,7,7,5
1,38,7,7,5
1,39,7,7,5
1,40,7,7,5
1,41,7,7,5
1,42,7,7,5
1,43,7,7,5
1,44,7,7,5
1,45,7,7,5
1,46,7,7,5
1,47,7,7,5
1,48,7,7,5
1,49,7,7,5
1,50,7,7,5
1,51,7,7,5
1,52,7,7,5
1,53,7,7,5
1,54,7,7,5
1,55,7,7,5
1,56,7,7,5
1,57,7,7,5
1,58,14,8,6
1,59,15,8,5
1,60,15,8,5
1,61,15,8,5
1,62,15,8,5
1,63,15,8,5
1,64,15,8,5
1,65,15,8,5
1,66,15,8,5
1,67,15,8,5
1,68,15,8,5
1,69,15,8,5
1,70,15,8,5
1,71,15,8,5
1,72,15,8,5
1,73,15,8,5
1,74,15,8,5
1,75,15,8,5
1,76,15,8,5
1,77,15,8,5
1,78,15,8,5
1,79,15,8,5
1,80,15,8,5
1,81,15,8,5
1,82,15,8,5
1,83,15,8,5
1,84,15,8,5
1,85,15,8,5
1,86,15,8,5
1,87,15,8,5
1,88,15,8,5
1,89,15,8,5
1,90,15,8,5
1,91,15,8,5
1,92,15,8,5
1,93,15,8,5
1,94,15,8,5
1,95,15,8,5
1,96,15,8,5
1,97,15,8,5
1,98,15,8,5
1,99,15,8,5
1,100,15,8,5
2,1,7,7,2
2,2,7,7,2
2,3,7,7,2
2,4,7,7,2
2,5,7,7,2
2,6,7,7,2
2,7,7,7,2
2,8,7,7,2
2,9,7,7,2
2,10,7,7,2
2,11,7,7,2
2,12,7,7,2
2,13,7,7,2
2,14,7,7,2
2,15,7,7,2
2,16,7,7,2
2,17,7,7,2
2,18,7,7,2
2,19,7,7,2
2,20,7,7,2
2,21,7,7,2
2,22,7,7,2
2,23,7,7,2
2,24,7,7,2
2,25,7,7,2
2,26,7,7,2
2,27,7,7,2
2,28,7,7,2
2,29,7,7,2
2,30,7,7,2
2,31,7,7,2
2,32,7,7,2
2,33,7,7,2
2,34,7,7,2
2,35,7,7,2
2,36,7,7,2
2,37,7,7,2
2,38,7,7,2
2,39,7,7,2
2,40,7,7,2
2,41,7,7,2
2,42,7,7,2
2,43,7,7,2
2,44,7,7,2
2,45,7,7,2
2,46,7,7,2
2,47,7,7,2
2,48,7,7,2
2,49,7,7,2
2,50,7,7,2
2,51,7,7,2
2,52,7,7,2
2,53,7,7,2
2,54,7,7,2
2,55,7,7,2
2,56,7,7,2
2,57,7,7,2
2,58,7,7,2
2,59,7,7,2
2,60,7,7,2
2,61,7,7,2
2,62,7,7,2
2,63,7,7,2
2,64,7,7,2
2,65,7,7,2
2,66,7,7,2
2,67,7,7,2
2,68,7,7,2
2,69,7,7,2
2,70,7,7,2
2,71,7,7,2
2,72,7,7,2
2,73,7,7,2
2,74,7,7,2
2,75,7,7,2
2,76,7,7,2
2,77,7,7,2
2,78,7,7,2
2,79,7,7,2
2,80,7,7,2
2,81,7,7,2
2,82,7,7,2
2,83,7,7,2
2,84,7,7,2
2,85,7,7,2
2,86,7,7,2
2,87,7,7,2
2,88,7,7,2
2,89,7,7,2
2,90,7,7,2
2,91,7,7,2
2,92,7,7,2
2,93,7,7,2
2,94,7,7,2
2,95,7,7,2
2,96,7,7,2
2,97,7,7,2
2,98,7,7,2
2,99,7,7,2
2,100,7,7,2
3,1,7,7,5
3,2,15,8,5
3,3,15,8,5
3,4,15,8,5
3,5,15,8,5
3,6,15,8,5
3,7,15,8,5
3,8,15,8,5
3,9,15,8,5
3,10,15,8,5
3,11,15,8,5
3,12,15,8,5
3,13,15,8,5
3,14,15,8,5
3,15,15,8,5
3,16,15,8,5
3,17,15,8,5
3,18,15,8,5
3,19,15,8,5
3,20,15,8,5
3,21,15,8,5
3,22,15,8,5
3,23,15,8,5
3,24,15,8,5
3,25,15,8,5
3,26,15,8,5
3,27,15,8,5
3,28,15,8,5
3,29,15,8,5
3,30,15,8,5
3,31,15,8,5
3,32,15,8,5
3,33,15,8,5
3,34,15,8,5
3,35,15,8,5
3,36,15,8,5
3,37,15,8,5
3,38,15,8,5
3,39,15,8,5
3,40,15,8,5
3,41,15,8,5
3,42,15,8,5
3,43,15,8,5
3,44,15,8,5
3,45,15,8,5
3,46,15,8,5
3,47,15,8,5
3,48,15,8,5
3,49,15,8,5
3,50,15,8,5
3,51,15,8,5
3,52,15,8,5
3,53,15,8,5
3,54,15,8,5
3,55,15,8,5
3,56,15,8,5
3,57,15,8,5
3,58,15,8,5
3,59,15,8,5
3,60,15,8,5
3,61,15,8,5
3,62,15,8,5
3,63,16,8,4
3,64,16,8,4
3,65,16,8,4
3,66,16,8,4
3,67,16,8,4
3,68,16,8,4
3,69,16,8,4
3,70,16,8,4
3,71,16,8,4
3,72,16,8,4
3,73,16,8,4
3,74,16,8,4
3,75,16,8,4
3,76,16,8,4
3,77,16,8,4
3,78,16,8,4
3,79,16,8,4
3,80,16,8,4
3,81,16,8,4
3,82,16,8,4
3,83,16,8,4
3,84,16,8,4
3,85,16,8,4
3,86,16,8,4
3,87,16,8,4
3,88,16,8,4
3,89,16,8,4
3,90,16,8,4
3,91,16,8,4
3,92,16,8,4
3,93,16,8,4
3,94,16,8,4
3,95,16,8,4
3,96,16,8,4
3,97,16,8,4
3,98,16,8,4
3,99,16,8,4
3,100,16,8,4
4,1,7,7,2
4,2,7,7,2
4,3,7,7,2
4,4,7,7,2
4,5,7,7,2
4,6,7,7,2
4,7,7,7,2
4,8,7,7,2
4,9,7,7,2
4,10,7,7,2
4,11,7,7,2
4,12,7,7,2
4,13,7,7,2
4,14,7,7,2
4,15,7,7,2
4,16,7,7,2
4,17,7,7,2
4,18,7,7,2
4,19,7,7,2
4,20,7,7,2
4,21,7,7,2
4,22,7,7,2
4,23,7,7,2
4,24,7,7,2
4,25,7,7,2
4,26,7,7,2
4,27,7,7,2
4,28,7,7,2
4,29,7,7,2
4,30,7,7,2
4,31,7,7,2
4,32,7,7,2
4,33,7,7,2
4,34,7,7,2
4,35,7,7,2
4,36,7,7,2
4,37,7,7,2
4,38,7,7,2
4,39,7,7,2
4,40,7,7,2
4,41,7,7,2
4,42,7,7,2
4,43,7,7,2
4,44,7,7,2
4,45,7,7,2
4,46,7,7,2
4,47,7,7,2
4,48,7,7,2
4,49,7,7,2
4,50,7,7,2
4,51,7,7,2
4,52,7,7,2
4,53,7,7,2
4,54,7,7,2
4,55,7,7,2
4,56,7,7,2
4,57,7,7,2
4,58,7,7,2
4,59,7,7,2
4,60,7,7,2
4,61,7,7,2
4,62,7,7,2
4,63,7,7,2
4,64,7,7,2
4,65,7,7,2
4,66,7,7,2
4,67,7,7,2
4,68,7,7,2
4,69,7,7,2
4,70,7,7,2
4,71,7,7,2
4,72,7,7,2
4,73,7,7,2
4,74,7,7,2
4,75,7,7,2
4,76,7,7,2
4,77,7,7,2
4,78,7,7,2
4,79,7,7,2
4,80,7,7,2
4,81,7,7,2
4,82,7,7,2
4,83,7,7,2
4,84,7,7,2
4,85,7,7,2
4,86,7,7,2
4,87,7,7,2
4,88,7,7,2
4,89,7,7,2
4,90,7,7,2
4,91,7,7,2
4,92,7,7,2
4,93,7,7,2
4,94,7,7,2
4,95,7,7,2
4,96,7,7,2
4,97,7,7,2
4,98,7,7,2
4,99,7,7,2
4,100,7,7,2
5,1,7,7,2
5,2,7,7,2
5,3,7,7,2
5,4,7,7,2
5,5,7,7,2
5,6,7,7,2
5,7,7,7,2
5,8,7,7,2
5,9,7,7,2
5,10,7,7,2
5,11,7,7,2
5,12,7,7,2
5,13,7,7,2
5,14,7,7,2
5,15,7,7,2
5,16,7,7,2
5,17,7,7,2
5,18,7,7,2
5,19,7,7,2
5,20,7,7,2
5,21,7,7,2
5,22,7,7,2
5,23,7,7,2
5,24,7,7,2
5,25,7,7,2
5,26,7,7,2
5,27,7,7,2
5,28,7,7,2
5,29,7,7,2
5,30,7,7,2
5,31,7,7,2
5,32,7,7,2
5,33,7,7,2
5,34,7,7,2
5,35,7,7,2
5,36,7,7,2
5,37,7,7,2
5,38,7,7,2
5,39,7,7,2
5,40,7,7,2
5,41,7,7,2
5,42,7,7,2
5,43,7,7,2
5,44,7,7,2
5,45,7,7,2
5,46,7,7,2
5,47,7,7,2
5,48,7,7,2
5,49,7,7,2
5,50,7,7,2
5,51,7,7,2
5,52,7,7,2
5,53,7,7,2
5,54,7,7,2
5,55,7,7,2
5,56,7,7,2
5,57,7,7,2
5,58,7,7,2
5,59,7,7,2
5,60,7,7,2
5,61,7,7,2
5,62,7,7,2
5,63,7,7,2
5,64,7,7,2
5,65,7,7,2
5,66,7,7,2
5,67,7,7,2
5,68,7,7,2
5,69,7,7,2
5,70,7,7,2
5,71,7,7,2
5,72,7,7,2
5,73,7,7,2
5,74,7,7,2
5,75,7,7,2
5,76,7,7,2
5,77,7,7,2
5,78,7,7,2
5,79,7,7,2
5,80,7,7,2
5,81,7,7,2
5,82,7,7,2
5,83,7,7,2
5,84,7,7,2
5,85,7,7,2
5,86,7,7,2
5,87,7,7,2
5,88,7,7,2
5,89,7,7,2
5,90,7,7,2
5,91,7,7,2
5,92,7,7,2
5,93,7,7,2
5,94,7,7,2
5,95,7,7,2
5,96,7,7,2
5,97,7,7,2
5,98,7,7,2
5,99,7,7,2
5,100,7,7,2
6,1,7,7,3
6,2,7,7,3
6,3,7,7,3
6,4,7,7,3
6,5,7,7,3
6,6,7,7,3
6,7,7,7,3
6,8,7,7,3
6,9,7,7,3
6,10,7,7,3
6,11,7,7,3
6,12,7,7,3
6,13,7,7,3
6,14,7,7,3
6,15,7,7,3
6,16,7,7,3
6,17,7,7,3
6,18,7,7,3
6,19,7,7,3
6,20,7,7,3
6,21,7,7,3
6,22,14,8,6
6,23,14,8,6
6,24,14,8,6
6,25,14,8,6
6,26,14,8,6
6,27,14,8,6
6,28,14,8,6
6,29,15,8,5
6,30,15,8,5
6,31,15,8,5
6,32,15,8,5
6,33,15,8,5
6,34,15,8,5
6,35,15,8,5
6,36,15,8,5
6,37,15,8,5
6,38,15,8,5
6,39,15,8,5
6,40,15,8,5
6,41,15,8,5
6,42,15,8,5
6,43,15,8,5
6,44,15,8,5
6,45,15,8,5
6,46,15,8,5
6,47,15,8,5
6,48,15,8,5
6,49,15,8,5
6,50,15,8,5
6,51,15,8,5
6,52,15,8,5
6,53,15,8,5
6,54,15,8,5
6,55,15,8,5
6,56,15,8,5
6,57,15,8,5
6,58,15,8,5
6,59,15,8,5
6,60,15,8,5
6,61,15,8,5
6,62,15,8,5
6,63,15,8,5
6,64,15,8,5
6,65,15,8,5
6,66,15,8,5
6,67,15,8,5
6,68,15,8,5
6,69,15,8,5
6,70,15,8,5
6,71,15,8,5
6,72,15,8,5
6,73,15,8,5
6,74,15,8,5
6,75,15,8,5
6,76,15,8,5
6,77,15,8,5
6,78,15,8,5
6,79,15,8,5
6,80,15,8,5
6,81,15,8,5
6,82,15,8,5
6,83,15,8,5
6,84,15,8,5
6,85,15,8,5
6,86,15,8,5
6,87,15,8,5
6,88,15,8,5
6,89,15,8,5
6,90,15,8,5
6,91,15,8,5
6,92,15,8,5
6,93,15,8,5
6,94,15,8,5
6,95,15,8,5
6,96,15,8,5
6,97,15,8,5
6,98,15,8,5
6,99,15,8,5
6,100,15,8,5
7,1,7,7,2
7,2,7,7,2
7,3,7,7,2
7,4,7,7,2
7,5,7,7,2
7,6,7,7,2
7,7,7,7,2
7,8,7,7,2
7,9,7,7,2
7,10,7,7,2
7,11,7,7,2
7,12,7,7,2
7,13,7,7,2
7,14,7,7,2
7,15,7,7,2
7,16,7,7,2
7,17,7,7,2
7,18,7,7,2
7,19,7,7,2
7,20,7,7,2
7,21,7,7,2
7,22,7,7,2
7,23,7,7,2
7,24,7,7,2
7,25,7,7,2
7,26,7,7,2
7,27,7,7,2
7,28,7,7,2
7,29,7,7,2
7,30,7,7,2
7,31,7,7,2
7,32,7,7,2
7,33,7,7,2
7,34,7,7,2
7,35,7,7,2
7,36,7,7,2
7,37,7,7,2
7,38,7,7,2
7,39,7,7,2
7,40,7,7,2
7,41,7,7,2
7,42,7,7,2
7,43,7,7,2
7,44,7,7,2
7,45,7,7,2
7,46,7,7,2
7,47,7,7,2
7,48,7,7,2
7,49,7,7,2
7,50,7,7,2
7,51,7,7,2
7,52,7,7,2
7,53,7,7,2
7,54,7,7,2
7,55,7,7,2
7,56,7,7,2
7,57,7,7,2
7,58,7,7,2
7,59,7,7,2
7,60,7,7,2
7,61,7,7,2
7,62,7,7,2
7,63,7,7,2
7,64,7,7,2
7,65,7,7,2
7,66,7,7,2
7,67,7,7,2
7,68,7,7,2
7,69,7,7,2
7,70,7,7,2
7,71,7,7,2
7,72,7,7,2
7,73,7,7,2
7,74,7,7,2
7,75,7,7,2
7,76,7,7,2
7,77,7,7,2
7,78,7,7,2
7,79,7,7,2
7,80,7,7,2
7,81,7,7,2
7,82,7,7,2
7,83,7,7,2
7,84,7,7,2
7,85,7,7,2
7,86,7,7,2
7,87,7,7,2
7,88,7,7,2
7,89,7,7,2
7,90,7,7,2
7,91,7,7,2
7,92,7,7,2
7,93,7,7,2
7,94,7,7,2
7,95,7,7,2
7,96,7,7,2
7,97,7,7,2
7,98,7,7,2
7,99,7,7,2
7,100,7,7,2
8,1,7,7,3
8,2,7,7,3
8,3,7,7,3
8,4,7,7,3
8,5,7,7,3
8,6,7,7,3
8,7,7,7,3
8,8,7,7,3
8,9,7,7,3
8,10,7,7,3
8,11,7,7,3
8,12,7,7,3
8,13,7,7,3
8,14,7,7,3
8,15,7,7,3
8,16,7,7,3
8,17,7,7,3
8,18,7,7,3
8,19,7,7,3
8,20,7,7,3
8,21,7,7,3
8,22,7,7,3
8,23,7,7,3
8,24,7,7,3
8,25,7,7,3
8,26,7,7,3
